twitter_name,Name
@FLEETCOR,FLEETCOR TECHNOLOGIES
@RalphLauren,RALPH LAUREN CL.A
@firstrepublic,FIRST REPUBLIC BANK
@CBOE,CBOE GLOBAL MARKETS
@Seagate,SEAGATE TECH.
@DollarGeneral,DOLLAR GENERAL
@Fortinet,FORTINET
@MotoSolutions,MOTOROLA SOLUTIONS
@TEConnectivity,TE CONNECTIVITY
@oreillyauto,O REILLY AUTOMOTIVE
@GM,GENERAL MOTORS
@CBRE,CBRE GROUP CLASS A
@egencia,EXPEDIA GROUP
@orbitz,EXPEDIA GROUP
@vrbo,EXPEDIA GROUP
@hotwire,EXPEDIA GROUP
@hotelsdotcom,EXPEDIA GROUP
@expedia,EXPEDIA GROUP
@ExpediaGroup,EXPEDIA GROUP
@Aptiv,APTIV
@Phillips66Co,PHILLIPS 66
@AmericanTowerUS,AMERICAN TOWER
@Facebook,FACEBOOK CLASS A
@DukeEnergy,DUKE ENERGY
@ServiceNow,SERVICENOW
@MDLZ,MONDELEZ INTERNATIONAL CL.A
@eatoncorp,EATON
@abbvie,ABBVIE
@TMobile,T-MOBILE US
@Zoetis,ZOETIS A
@CruiseNorwegian,NORWEGIAN CRUISE LINE HDG.
@L_Brands,L BRANDS
@COTYInc,COTY CL.A
@newscorp,NEWS 'A'
@CDWCorp,CDW
@AmericanAir,AMERICAN AIRLINES GROUP
@IHSMarkit,IHS MARKIT
@WTWcorporate,WILLIS TOWERS WATSON
@bakerhughesco,BAKER HUGHES A
@LambWeston,LAMB WESTON HOLDINGS
@IQVIA_global,IQVIA HOLDINGS
@rentalcars.com,BOOKING HOLDINGS
@agoda,BOOKING HOLDINGS
@opentable,BOOKING HOLDINGS
@priceline,BOOKING HOLDINGS
@kayak,BOOKING HOLDINGS
@bookingcom,BOOKING HOLDINGS
@BookingHoldings,BOOKING HOLDINGS
@TechnipFMC,TECHNIPFMC
@LeidosInc,LEIDOS HOLDINGS
@Broadcom,BROADCOM
@StuartWeitzman,TAPESTRY
@Coach,TAPESTRY
@katespadeny,TAPESTRY
@Twitter,TWITTER
@evergypower,EVERGY
@Schlage_Locks,ALLEGION
@AllegionUS,ALLEGION
@AllegionPlc,ALLEGION
@ICE_Markets,INTERCONTINENTAL EX.
@SterisLifeSci,STERIS
@STERIS_AST,STERIS
@STERIS,STERIS
@PerrigoCompany,PERRIGO
@Cigna,CIGNA
@DowJones,DOW ORD SHS
@amcorpackaging,AMCOR
@Xerox,XEROX HOLDINGS
@FoxNews,FOX A
@AimcoApts,APARTMENT INV.& MAN.'A'
@NortonLifelock ,NORTONLIFELOCK
@DuPont_News,DUPONT DE NEMOURS
@carrier,CARRIER GLOBAL
@OtisElevatorCo,OTIS WORLDWIDE
@GlobeLife,GLOBE LIFE
@corteva,CORTEVA
@L3HarrisTech,L3HARRIS TECHNOLOGIES
@Trane_Tech,TRANE TECHNOLOGIES
@HowmetAerospace,HOWMET AEROSPACE
@TruistNews,TRUIST FINANCIAL
@TruistFinancial,TRUIST FINANCIAL
@ViacomCBS,VIACOMCBS B
@IRProducts,INGERSOLL RAND
@Paycom,PAYCOM SOFTWARE
@Aon_plc,AON CLASS A
@PENTAIR,PENTAIR
@RaytheonTech,RAYTHEON TECHNOLOGIES
@AristaNetworks,ARISTA NETWORKS
@synchrony,SYNCHRONY FINANCIAL
@CFGCommercial,CITIZENS FINANCIAL GROUP
@Keysight,KEYSIGHT TECHNOLOGIES
@QorvoInc,QORVO
@anthemgame,ANTHEM
@CrownCastle,CROWN CASTLE INTL.
@Medtronic,MEDTRONIC
@AllianceBoots,WALGREENS BOOTS ALLIANCE
@WBA_Global,WALGREENS BOOTS ALLIANCE
@MylanNews,MYLAN
@IronMountain,IRON MOUNTAIN
@Equinix,EQUINIX REIT
@EversourceCorp,EVERSOURCE ENERGY
@nielsen,NIELSEN
@johnsoncontrols,JOHNSON CONTROLS INTL.
@DentsplySirone,DENTSPLY SIRONA
@WestRock,WESTROCK
@KraftHeinz,KRAFT HEINZ
@FortiveCorp,FORTIVE
@SPGlobal,S&P GLOBAL
@HiltonHotels,HILTON WORLDWIDE HDG.
@Google,ALPHABET A
@Welltower,WELLTOWER
@HPE,HEWLETT PACKARD ENTER.
@PayPal,PAYPAL HOLDINGS
@HP,HP
@DXCTechnology,DXC TECHNOLOGY
@WECEnergyGroup,WEC ENERGY GROUP
@MonsterEnergy,MONSTER BEVERAGE
@Lindeplc,LINDE
@sbasite,SBA COMMS.
@CharterNewsroom,CHARTER COMMS.CL.A
@GetSpectrum,CHARTER COMMS.CL.A
@SpectrumBiz,CHARTER COMMS.CL.A
@CharterGov,CHARTER COMMS.CL.A
